0-Country/site,0-Latitude,0-Longitude,0-Hemisphere,0-Sampling number,0-Sampling date,0-Pad number,0-Pad colour,0-Pad region,0-Pad ID,1-Regional barnacle diversity,1-Regional barnacle species list,1-Regional grazer diversity,1-Regional grazer species list,1-Regional macroalgae diversity,1-Regional macroalgae species list,1-Total regional species richness,2-Mean regional nitrate (mg/l),2-Mean regional nitrite (mg/l),2-Mean regional phosphate (mg/l),2-Mean regional silicate (mg/l),2-Mean regional ammonia (mg/l),2-Mean regional salinity (PSU),3-Barnacle total count,3-Grazer total count on pad surface,3-Grazer total count on pad sides,3-Macroalgae total pct cover,4-Climate classification ,4-Is_temperate,4-mean_daily_max_temp,4-mean_daily_min_temp,4-mean_daily_temp,4-mean_humidity,4-mean_daily_precip,4-mean_windgust,4-mean_daily_windspeed,4-mean_sealevelpressure,4-mean_cloudcover,4-mean_visibility,4-mean_solarradiation,4-mean_solarenergy,4-mean_uvindex,4-mean_temp_range,4-sd_temp_range,4-sd_precip,4-sd_windspeed,4-sd_sealevelpressure,4-total_precip,4-total_solar_energy,4-heatwave_runs,4-heatwave_days,4-cold_snap_runs,4-cold_snap_days,4-heavy_rain_days,4-dry_spell_max,4-gust_extreme_days,4-sunny_days,4-high_uv_runs,4-high_uv_days,4-fog_days,4-pct_human_landuse
Chile,-41.5328194,-72.83736799,South,1,,1,B,P,5-P-B1,1,Jeehlius cirratus,1,Austrolittorina araucana,1,Chaetomorpha linum,3,0.683,0.023,0.21,0.897,NA,NA,10,0,0,2.931,Cfb,1,19.244262,8.889344,13.889344,80.9082,1.7106557,40.15246,29.23934,1017.0598,60.12787,9.731967,258.1533,22.27787,7.967213,10.354918,3.5365647,3.7943152,9.553318,3.909972,208.7,2717.9,3,11,2,7,12,18,13,8,10,83,0,42
Chile,-41.5328194,-72.83736799,South,1,,2,B,P,5-P-B2,1,Jeehlius cirratus,1,Austrolittorina araucana,1,Chaetomorpha linum,3,0.683,0.023,0.21,0.897,NA,NA,12,0,0,0.654,Cfb,1,19.244262,8.889344,13.889344,80.9082,1.7106557,40.15246,29.23934,1017.0598,60.12787,9.731967,258.1533,22.27787,7.967213,10.354918,3.5365647,3.7943152,9.553318,3.909972,208.7,2717.9,3,11,2,7,12,18,13,8,10,83,0,42
Chile,-41.5328194,-72.83736799,South,1,,3,B,P,5-P-B3,1,Jeehlius cirratus,1,Austrolittorina araucana,1,Chaetomorpha linum,3,0.683,0.023,0.21,0.897,NA,NA,7,0,0,1.582,Cfb,1,19.244262,8.889344,13.889344,80.9082,1.7106557,40.15246,29.23934,1017.0598,60.12787,9.731967,258.1533,22.27787,7.967213,10.354918,3.5365647,3.7943152,9.553318,3.909972,208.7,2717.9,3,11,2,7,12,18,13,8,10,83,0,42
Chile,-41.5328194,-72.83736799,South,1,,4,B,P,5-P-B4,1,Jeehlius cirratus,1,Austrolittorina araucana,1,Chaetomorpha linum,3,0.683,0.023,0.21,0.897,NA,NA,5,0,0,2.119,Cfb,1,19.244262,8.889344,13.889344,80.9082,1.7106557,40.15246,29.23934,1017.0598,60.12787,9.731967,258.1533,22.27787,7.967213,10.354918,3.5365647,3.7943152,9.553318,3.909972,208.7,2717.9,3,11,2,7,12,18,13,8,10,83,0,42
Chile,-41.5328194,-72.83736799,South,1,,5,B,P,5-P-B5,1,Jeehlius cirratus,1,Austrolittorina araucana,1,Chaetomorpha linum,3,0.683,0.023,0.21,0.897,NA,NA,19,1,0,5.82,Cfb,1,19.244262,8.889344,13.889344,80.9082,1.7106557,40.15246,29.23934,1017.0598,60.12787,9.731967,258.1533,22.27787,7.967213,10.354918,3.5365647,3.7943152,9.553318,3.909972,208.7,2717.9,3,11,2,7,12,18,13,8,10,83,0,42
Chile,-41.5328194,-72.83736799,South,1,,6,B,P,5-P-B6,1,Jeehlius cirratus,1,Austrolittorina araucana,1,Chaetomorpha linum,3,0.683,0.023,0.21,0.897,NA,NA,18,0,0,6.291,Cfb,1,19.244262,8.889344,13.889344,80.9082,1.7106557,40.15246,29.23934,1017.0598,60.12787,9.731967,258.1533,22.27787,7.967213,10.354918,3.5365647,3.7943152,9.553318,3.909972,208.7,2717.9,3,11,2,7,12,18,13,8,10,83,0,42
Chile,-41.5328194,-72.83736799,South,1,,7,W,P,5-P-W1,1,Jeehlius cirratus,1,Austrolittorina araucana,1,Chaetomorpha linum,3,0.683,0.023,0.21,0.897,NA,NA,93,0,0,32.026,Cfb,1,19.244262,8.889344,13.889344,80.9082,1.7106557,40.15246,29.23934,1017.0598,60.12787,9.731967,258.1533,22.27787,7.967213,10.354918,3.5365647,3.7943152,9.553318,3.909972,208.7,2717.9,3,11,2,7,12,18,13,8,10,83,0,42
Chile,-41.5328194,-72.83736799,South,1,,8,W,P,5-P-W2,1,Jeehlius cirratus,1,Austrolittorina araucana,1,Chaetomorpha linum,3,0.683,0.023,0.21,0.897,NA,NA,73,0,0,10.56,Cfb,1,19.244262,8.889344,13.889344,80.9082,1.7106557,40.15246,29.23934,1017.0598,60.12787,9.731967,258.1533,22.27787,7.967213,10.354918,3.5365647,3.7943152,9.553318,3.909972,208.7,2717.9,3,11,2,7,12,18,13,8,10,83,0,42
Chile,-41.5328194,-72.83736799,South,1,,9,W,P,5-P-W3,1,Jeehlius cirratus,1,Austrolittorina araucana,1,Chaetomorpha linum,3,0.683,0.023,0.21,0.897,NA,NA,NA,0,0,1.258,Cfb,1,19.244262,8.889344,13.889344,80.9082,1.7106557,40.15246,29.23934,1017.0598,60.12787,9.731967,258.1533,22.27787,7.967213,10.354918,3.5365647,3.7943152,9.553318,3.909972,208.7,2717.9,3,11,2,7,12,18,13,8,10,83,0,42
Chile,-41.5328194,-72.83736799,South,1,,10,W,P,5-P-W4,1,Jeehlius cirratus,1,Austrolittorina araucana,1,Chaetomorpha linum,3,0.683,0.023,0.21,0.897,NA,NA,NA,0,0,8.655,Cfb,1,19.244262,8.889344,13.889344,80.9082,1.7106557,40.15246,29.23934,1017.0598,60.12787,9.731967,258.1533,22.27787,7.967213,10.354918,3.5365647,3.7943152,9.553318,3.909972,208.7,2717.9,3,11,2,7,12,18,13,8,10,83,0,42
Chile,-41.5328194,-72.83736799,South,1,,11,W,P,5-P-W5,1,Jeehlius cirratus,1,Austrolittorina araucana,1,Chaetomorpha linum,3,0.683,0.023,0.21,0.897,NA,NA,81,0,0,3.121,Cfb,1,19.244262,8.889344,13.889344,80.9082,1.7106557,40.15246,29.23934,1017.0598,60.12787,9.731967,258.1533,22.27787,7.967213,10.354918,3.5365647,3.7943152,9.553318,3.909972,208.7,2717.9,3,11,2,7,12,18,13,8,10,83,0,42
Chile,-41.5328194,-72.83736799,South,1,,12,W,P,5-P-W6,1,Jeehlius cirratus,1,Austrolittorina araucana,1,Chaetomorpha linum,3,0.683,0.023,0.21,0.897,NA,NA,50,0,0,2.84,Cfb,1,19.244262,8.889344,13.889344,80.9082,1.7106557,40.15246,29.23934,1017.0598,60.12787,9.731967,258.1533,22.27787,7.967213,10.354918,3.5365647,3.7943152,9.553318,3.909972,208.7,2717.9,3,11,2,7,12,18,13,8,10,83,0,42
Chile,-41.5328194,-72.83736799,South,1,,13,B,N,5-N-B1,1,Jeehlius cirratus,1,Austrolittorina araucana,1,Chaetomorpha linum,3,0.29,0.07,0.077,0.748,NA,NA,108,18,0,0.582,Cfb,1,19.244262,8.889344,13.889344,80.9082,1.7106557,40.15246,29.23934,1017.0598,60.12787,9.731967,258.1533,22.27787,7.967213,10.354918,3.5365647,3.7943152,9.553318,3.909972,208.7,2717.9,3,11,2,7,12,18,13,8,10,83,0,42
Chile,-41.5328194,-72.83736799,South,1,,14,B,N,5-N-B2,1,Jeehlius cirratus,1,Austrolittorina araucana,1,Chaetomorpha linum,3,0.29,0.07,0.077,0.748,NA,NA,49,14,0,0.21,Cfb,1,19.244262,8.889344,13.889344,80.9082,1.7106557,40.15246,29.23934,1017.0598,60.12787,9.731967,258.1533,22.27787,7.967213,10.354918,3.5365647,3.7943152,9.553318,3.909972,208.7,2717.9,3,11,2,7,12,18,13,8,10,83,0,42
Chile,-41.5328194,-72.83736799,South,1,,15,B,N,5-N-B3,1,Jeehlius cirratus,1,Austrolittorina araucana,1,Chaetomorpha linum,3,0.29,0.07,0.077,0.748,NA,NA,19,0,0,0.241,Cfb,1,19.244262,8.889344,13.889344,80.9082,1.7106557,40.15246,29.23934,1017.0598,60.12787,9.731967,258.1533,22.27787,7.967213,10.354918,3.5365647,3.7943152,9.553318,3.909972,208.7,2717.9,3,11,2,7,12,18,13,8,10,83,0,42
Chile,-41.5328194,-72.83736799,South,1,,16,B,N,5-N-B4,1,Jeehlius cirratus,1,Austrolittorina araucana,1,Chaetomorpha linum,3,0.29,0.07,0.077,0.748,NA,NA,180,25,0,0.192,Cfb,1,19.244262,8.889344,13.889344,80.9082,1.7106557,40.15246,29.23934,1017.0598,60.12787,9.731967,258.1533,22.27787,7.967213,10.354918,3.5365647,3.7943152,9.553318,3.909972,208.7,2717.9,3,11,2,7,12,18,13,8,10,83,0,42
Chile,-41.5328194,-72.83736799,South,1,,17,B,N,5-N-B5,1,Jeehlius cirratus,1,Austrolittorina araucana,1,Chaetomorpha linum,3,0.29,0.07,0.077,0.748,NA,NA,9,10,0,0.273,Cfb,1,19.244262,8.889344,13.889344,80.9082,1.7106557,40.15246,29.23934,1017.0598,60.12787,9.731967,258.1533,22.27787,7.967213,10.354918,3.5365647,3.7943152,9.553318,3.909972,208.7,2717.9,3,11,2,7,12,18,13,8,10,83,0,42
Chile,-41.5328194,-72.83736799,South,1,,18,B,N,5-N-B6,1,Jeehlius cirratus,1,Austrolittorina araucana,1,Chaetomorpha linum,3,0.29,0.07,0.077,0.748,NA,NA,12,4,0,0.186,Cfb,1,19.244262,8.889344,13.889344,80.9082,1.7106557,40.15246,29.23934,1017.0598,60.12787,9.731967,258.1533,22.27787,7.967213,10.354918,3.5365647,3.7943152,9.553318,3.909972,208.7,2717.9,3,11,2,7,12,18,13,8,10,83,0,42
Chile,-41.5328194,-72.83736799,South,1,,19,W,N,5-N-W1,1,Jeehlius cirratus,1,Austrolittorina araucana,1,Chaetomorpha linum,3,0.29,0.07,0.077,0.748,NA,NA,398,23,0,0.482,Cfb,1,19.244262,8.889344,13.889344,80.9082,1.7106557,40.15246,29.23934,1017.0598,60.12787,9.731967,258.1533,22.27787,7.967213,10.354918,3.5365647,3.7943152,9.553318,3.909972,208.7,2717.9,3,11,2,7,12,18,13,8,10,83,0,42
Chile,-41.5328194,-72.83736799,South,1,,20,W,N,5-N-W2,1,Jeehlius cirratus,1,Austrolittorina araucana,1,Chaetomorpha linum,3,0.29,0.07,0.077,0.748,NA,NA,87,1,0,0.602,Cfb,1,19.244262,8.889344,13.889344,80.9082,1.7106557,40.15246,29.23934,1017.0598,60.12787,9.731967,258.1533,22.27787,7.967213,10.354918,3.5365647,3.7943152,9.553318,3.909972,208.7,2717.9,3,11,2,7,12,18,13,8,10,83,0,42
Chile,-41.5328194,-72.83736799,South,1,,21,W,N,5-N-W3,1,Jeehlius cirratus,1,Austrolittorina araucana,1,Chaetomorpha linum,3,0.29,0.07,0.077,0.748,NA,NA,68,10,0,0.134,Cfb,1,19.244262,8.889344,13.889344,80.9082,1.7106557,40.15246,29.23934,1017.0598,60.12787,9.731967,258.1533,22.27787,7.967213,10.354918,3.5365647,3.7943152,9.553318,3.909972,208.7,2717.9,3,11,2,7,12,18,13,8,10,83,0,42
Chile,-41.5328194,-72.83736799,South,1,,22,W,N,5-N-W4,1,Jeehlius cirratus,1,Austrolittorina araucana,1,Chaetomorpha linum,3,0.29,0.07,0.077,0.748,NA,NA,261,14,1,0.443,Cfb,1,19.244262,8.889344,13.889344,80.9082,1.7106557,40.15246,29.23934,1017.0598,60.12787,9.731967,258.1533,22.27787,7.967213,10.354918,3.5365647,3.7943152,9.553318,3.909972,208.7,2717.9,3,11,2,7,12,18,13,8,10,83,0,42
Chile,-41.5328194,-72.83736799,South,1,,23,W,N,5-N-W5,1,Jeehlius cirratus,1,Austrolittorina araucana,1,Chaetomorpha linum,3,0.29,0.07,0.077,0.748,NA,NA,54,0,0,0.148,Cfb,1,19.244262,8.889344,13.889344,80.9082,1.7106557,40.15246,29.23934,1017.0598,60.12787,9.731967,258.1533,22.27787,7.967213,10.354918,3.5365647,3.7943152,9.553318,3.909972,208.7,2717.9,3,11,2,7,12,18,13,8,10,83,0,42
Chile,-41.5328194,-72.83736799,South,1,,24,W,N,5-N-W6,1,Jeehlius cirratus,1,Austrolittorina araucana,1,Chaetomorpha linum,3,0.29,0.07,0.077,0.748,NA,NA,254,0,0,0.294,Cfb,1,19.244262,8.889344,13.889344,80.9082,1.7106557,40.15246,29.23934,1017.0598,60.12787,9.731967,258.1533,22.27787,7.967213,10.354918,3.5365647,3.7943152,9.553318,3.909972,208.7,2717.9,3,11,2,7,12,18,13,8,10,83,0,42
Chile,-41.5328194,-72.83736799,South,2,,1,B,P,5-P-B1,1,Jeehlius cirratus,1,Austrolittorina araucana,1,Chaetomorpha linum,3,3.017,0.002,0.06,2.657,NA,NA,24,0,0,0.117,Cfb,1,19.244262,8.889344,13.889344,80.9082,1.7106557,40.15246,29.23934,1017.0598,60.12787,9.731967,258.1533,22.27787,7.967213,10.354918,3.5365647,3.7943152,9.553318,3.909972,208.7,2717.9,3,11,2,7,12,18,13,8,10,83,0,42
Chile,-41.5328194,-72.83736799,South,2,,2,B,P,5-P-B2,1,Jeehlius cirratus,1,Austrolittorina araucana,1,Chaetomorpha linum,3,3.017,0.002,0.06,2.657,NA,NA,36,0,0,0.209,Cfb,1,19.244262,8.889344,13.889344,80.9082,1.7106557,40.15246,29.23934,1017.0598,60.12787,9.731967,258.1533,22.27787,7.967213,10.354918,3.5365647,3.7943152,9.553318,3.909972,208.7,2717.9,3,11,2,7,12,18,13,8,10,83,0,42
