Site,Region,Replicate,Date,Nitrate (mg/L),Phosphate (mg/L)
Chile,Non-polluted,1,1-2 Dec 23,0.407,0.0877
Chile,Non-polluted,2,1-2 Dec 23,0.308,0.0854
Chile,Non-polluted,3,1-2 Dec 23,0.155,0.058
Chile,Polluted,1,1-2 Dec 23,1.325,0.161
Chile,Polluted,2,1-2 Dec 23,0.329,0.1351
Chile,Polluted,3,1-2 Dec 23,0.394,0.3335
Chile,Non-polluted,1,18-19 Dec 23,0.049,0.0532
Chile,Non-polluted,2,18-19 Dec 23,0.127,0.0711
Chile,Non-polluted,3,18-19 Dec 23,0.066,0.049
Chile,Polluted,1,18-19 Dec 23,2.36,0.0485
Chile,Polluted,2,18-19 Dec 23,3.698,0.071
Chile,Polluted,3,18-19 Dec 23,2.992,0.0609
Chile,Non-polluted,1,15-16 Jan 24,0.581,0.0633
Chile,Non-polluted,2,15-16 Jan 24,0.26,0.0605
Chile,Non-polluted,3,15-16 Jan 24,0.09,0.036
Chile,Polluted,1,15-16 Jan 24,0.185,0.0552
Chile,Polluted,2,15-16 Jan 24,0.307,0.0654
Chile,Polluted,3,15-16 Jan 24,0.259,0.0876
Chile,Non-polluted,1,29-30 Jan 24,0.171,0.0421
Chile,Non-polluted,2,29-30 Jan 24,0.047,0.0579
Chile,Non-polluted,3,29-30 Jan 24,0.097,0.0431
Chile,Polluted,1,29-30 Jan 24,0.429,0.0517
Chile,Polluted,2,29-30 Jan 24,0.156,0.0364
Chile,Polluted,3,29-30 Jan 24,0.097,0.0374
Chile,Non-polluted,1,12-13 Feb 24,0.103,0.058
Chile,Non-polluted,2,12-13 Feb 24,0.131,0.0603
Chile,Non-polluted,3,12-13 Feb 24,0.275,0.056
Chile,Polluted,1,12-13 Feb 24,0.201,0.1052
Chile,Polluted,2,12-13 Feb 24,0.532,0.1135
Chile,Polluted,3,12-13 Feb 24,0.406,0.1029
Chile,Non-polluted,1,26-27 Feb 24,0.794,0.0512
Chile,Non-polluted,2,26-27 Feb 24,2.011,0.0559
Chile,Non-polluted,3,26-27 Feb 24,1.893,0.0652
Chile,Polluted,1,26-27 Feb 24,0.762,0.0811
Chile,Polluted,2,26-27 Feb 24,0.973,0.0823
Chile,Polluted,3,26-27 Feb 24,1.63,0.0854
Chile,Non-polluted,1,13-14 March 24,0.889,0.0971
Chile,Non-polluted,2,13-14 March 24,1.109,0.1201
Chile,Non-polluted,3,13-14 March 24,0.991,0.1162
Chile,Polluted,1,13-14 March 24,1.893,0.209
Chile,Polluted,2,13-14 March 24,1.746,0.2014
Chile,Polluted,3,13-14 March 24,2.045,0.2174
Chile,Non-polluted,1,19-20 March 24,0.89,0.1264
Chile,Non-polluted,2,19-20 March 24,1.075,0.1351
Chile,Non-polluted,3,19-20 March 24,0.981,0.1369
Chile,Polluted,1,19-20 March 24,1.723,0.1314
Chile,Polluted,2,19-20 March 24,1.939,0.1178
Chile,Polluted,3,19-20 March 24,1.564,0.2187
