------------------------------,--------------------,,
www.electricblue.eu,Portugal,,
------------------------------,--------------------,,
EnvLogger version,T2.4,,
EnvLogger Viewer version,5.3,,
downloading device type,android,,
device,SM-J737T1,,
device name,Galaxy J7 Star,,
downloading mode,auto,,
------------------------------,--------------------,,
serial number,046D BD00 6014 0F,,
custom name,6-N-B1,,
temperature,degrees Celsius,,
time zone,UTC+0000,,
sampling resolution,0.1,,
samples,448,,
time diff [logger-smartphone](sec),69,,
lat,-0.765914,,
long,-90.340639,,
accuracy (m),2,,
------------------------------,--------------------,,
time,temp,,
14/01/2024 18:00,43.6,,
14/01/2024 19:30,41,,
14/01/2024 21:00,27.8,,
14/01/2024 22:30,27.9,,
15/01/2024 00:00,27.4,,
15/01/2024 01:30,26.8,,
15/01/2024 03:00,26.4,,
15/01/2024 04:30,25,,
15/01/2024 06:00,25.1,,
15/01/2024 07:30,25.1,,
15/01/2024 09:00,26.4,,
15/01/2024 10:30,26.4,,
15/01/2024 12:00,26.3,,
15/01/2024 13:30,26.3,,
15/01/2024 15:00,26.6,,
15/01/2024 16:30,28.6,,
15/01/2024 18:00,39.7,,
15/01/2024 19:30,44.8,,
15/01/2024 21:00,27.7,,
15/01/2024 22:30,27.5,,
16/01/2024 00:00,27.5,,
16/01/2024 01:30,27.2,,
16/01/2024 03:00,26.7,,
16/01/2024 04:30,25.4,,
16/01/2024 06:00,24.8,,
16/01/2024 07:30,24.5,,
16/01/2024 09:00,26.2,,
16/01/2024 10:30,26.3,,
16/01/2024 12:00,26.2,,
16/01/2024 13:30,26.3,,
16/01/2024 15:00,26.4,,
16/01/2024 16:30,30.7,,
16/01/2024 18:00,42.6,,
16/01/2024 19:30,45,,
16/01/2024 21:00,32.6,,
16/01/2024 22:30,28,,
17/01/2024 00:00,27.7,,
17/01/2024 01:30,27.5,,
17/01/2024 03:00,26.1,,
17/01/2024 04:30,26.5,,
17/01/2024 06:00,25.1,,
17/01/2024 07:30,25.1,,
17/01/2024 09:00,25.1,,
17/01/2024 10:30,26.1,,
17/01/2024 12:00,26,,
17/01/2024 13:30,26,,
17/01/2024 15:00,26,,
17/01/2024 16:30,26.6,,
17/01/2024 18:00,32.5,,
17/01/2024 19:30,39.5,,
17/01/2024 21:00,36.3,,
17/01/2024 22:30,26.7,,
18/01/2024 00:00,26.4,,
18/01/2024 01:30,26.1,,
18/01/2024 03:00,26.2,,
18/01/2024 04:30,26.2,,
18/01/2024 06:00,26.1,,
18/01/2024 07:30,25.6,,
18/01/2024 09:00,25.4,,
18/01/2024 10:30,26.1,,
18/01/2024 12:00,26,,
18/01/2024 13:30,25.8,,
18/01/2024 15:00,26,,
18/01/2024 16:30,26.3,,
